A0,propensityY1,propensityY2,propensityY3,propensityY4,propensityY5,propensityY6,propensityY7,propensityY8,propensityY9,propensityY10,propensityY11,propensityY12,propensityY13
251,0.010400353,0.012212497,0.014335812,0.016822009,0.019730746,,,,,,,,
252,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
253,0.027995577,0.126228943,0.038331122,0.044789623,0.052277175,,,,,,,,
254,0.009562049,0.011229785,0.013184523,0.015474192,0.438618287,,,,,,,,
255,0.017838398,0.020919141,0.024518656,0.028719364,0.033614966,,,,,,,,
256,0.019716465,0.091638156,0.027080644,0.031706023,0.037091299,,,,,,,,
257,0.838429381,0.859245923,0.145260479,0.044789623,0.699781967,,,,,,,,
258,0.03629459,0.042425088,0.012076415,0.014176411,0.01663543,,,,,,,,
259,0.027995577,0.032771963,0.038331122,0.044789623,0.699781967,,,,,,,,
260,0.838429381,0.859245923,0.62746433,0.664587834,0.699781967,,,,,,,,
261,0.078982846,0.023113923,0.027080644,0.031706023,0.037091299,,,,,,,,
263,0.770027418,0.943803246,0.951823654,0.958749418,0.131760187,,,,,,,,
264,0.015035396,0.017640748,0.020688075,0.095807609,0.840441257,,,,,,,,
265,0.078982846,0.023113923,0.027080644,0.031706023,0.037091299,,,,,,,,
266,0.016410504,0.01924948,0.493845528,0.534403991,0.574512592,,,,,,,,
267,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
268,0.434223323,0.474475315,0.024518656,0.028719364,0.033614966,,,,,,,,
269,0.066412637,0.077222713,0.022568321,0.026443942,0.030964034,,,,,,,,
270,0.128949983,0.14832213,0.170036442,0.053501691,0.737527884,,,,,,,,
271,0.010400353,0.012212497,0.014335812,0.016822009,0.019730746,,,,,,,,
272,0.783726127,0.499956798,0.027080644,0.031706023,0.037091299,,,,,,,,
273,0.03629459,0.042425088,0.012076415,0.014176411,0.01663543,,,,,,,,
274,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
275,0.548954724,0.588774405,0.038331122,0.044789623,0.052277175,,,,,,,,
277,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
